Company_Name,Company_Logo,Company_Description,Organization_Type,Staff,Development_Budget,Headquarters,Founded,website_link,Sectors,Funded,Countries,Skills,Contract_Name,Contract_Fundier
Sustainalytics,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0142/3681/Sustainalytics_with-text_Big.jpeg","Sustainalytics, a Morningstar Company, provides high-quality, analytical environmental, social and governance (ESG) research, ratings and data to institutional investors and companies.For more than 25 years, their firm has focused on delivering innovative solutions that have enabled the world’s leading institutional investors to identify, understand, and manage ESG-driven risks and opportunities. With Sustainalytics now a part of Morningstar, they're accelerating our efforts to bring meaningful ESG insights to investors of all types across different asset classes at the company and fund level.","Investment & Finance, Service Providers",501-1000,,Netherlands,1992,http://www.sustainalytics.com/,"development,finance,urban planning,economic policy,trade customs",,"united states,south africa,pakistan,ethiopia,egypt","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
FHI 360,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0015/0544/fhi360.jpg","FHI 360 is a nonprofit human development organization dedicated to improving lives in lasting ways by advancing integrated, locally driven solutions. Vision","Implementing NGO, Advocacy NGO",1001-5000,,Over 500 Million,1971,http://www.fhi360.org/,"development,reproductive health,monitoring / evaluation,research & development,procurement process","goal global,ec","united states,nigeria,morocco,kenya,cameroon","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
IMPACT,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0140/9820/IMPACT-Logo-EN-Blog.png","IMPACT was established in 1986 as a Canadian civil society coalition, tasked with distributing funding from the Canadian International Development Agency to address the root causes of conflict and to promote development in Africa. In the mid-1990s, IMPACT’s role disbursing funds ended and the organization grew into a global leader on research and policy related to conflict diamonds and minerals.For its work to end the trade of conflict diamonds, IMPACT was co-nominated for a Nobel Peace Prize in 2003.",Implementing NGO,6-25,,United States,1986,https://impacttransform.org/en/,"monitoring / evaluation,development,data management,research & development,private sector development","acumen,goal global,test,ec","united states,uganda,malawi,worldwide,kenya","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
United Nations Children's Fund (UNICEF),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0011/8619/Unicef.jpg","UNICEF works in the world’s toughest places to reach the most disadvantaged children and adolescents – and to protect the rights of every child, everywhere. Across more than 190 countries and territories, we do whatever it takes to help children survive, thrive and fulfill their potential, from early childhood through adolescence.The world’s largest provider of vaccines, we support child health and nutrition, safe water and sanitation, quality education and skill building, HIV prevention and treatment for mothers and babies, and the protection of children and adolescents from violence and exploitation.

What They Do",,"10,000+",,United States,1946,http://www.unicef.org/,"development,monitoring / evaluation,procurement process,children,logistics / supplies","world bank group,ec","united states,afghanistan,south africa,jersey,kenya","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
World Bank Group,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0011/9838/worldbank-logo.jpg","The World Bank is a vital source of financial and technical assistance to developing countries around the world. Their mission is to fight poverty with passion and professionalism for lasting results and to help people help themselves and their environment by providing resources, sharing knowledge, building capacity and forging partnerships in the public and private sectors.Established in 1944, the World Bank Group is headquartered in Washington, D.C. They have more than 10,000 employees in more than 120 offices worldwide.",Funding Agencies,"10,000+",,United States,1944,http://www.worldbank.org/,"development,economic policy,research & development,monitoring / evaluation,project support","world bank group,test,acumen,ec","bangladesh,india,chad,niger,brazil","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
World Health Organization (WHO),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0101/2142/WHO-logo130-93.jpg","WHO (World Health Organisation) is the directing and coordinating authority for health within the United Nations system. It is responsible for providing leadership on global health matters, shaping the health research agenda, setting norms and standards, articulating evidence-based policy options, providing technical support to countries and monitoring and assessing health trends. WHO was founded in 1948.193 countries and two associate members are WHO’s membership. They meet every year at the World Health Assembly in Geneva to set policy for the Organization, approve the Organization’s budget.",Funding Agencies,"5001-10,000",,Switzerland,1948,http://www.who.int/en/,"reproductive health,monitoring / evaluation,infectious disease,project support,development","unitaid,save the children international,goal global,test","united states,india,pakistan,senegal,ethiopia","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Environmental Resources Management (ERM),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0129/9411/ERM.JPG","Environmental Resources Management (ERM) is a leading global provider of environmental, health, safety, risk, social consulting services and sustainability related services. They have more than 160 offices in over 40 countries and territories employing more than 4,500 people who work on projects around the world. ERM is committed to providing a service that is consistent, professional and of the highest quality to create value for clients. They have worked with many of the Global Fortune 500 companies delivering innovative solutions for business and selected government clients helping them understand and manage the sustainability challenges that the world is increasingly facing.For over 40 years they have been working with clients around the world and in diverse industry sectors to help them to understand and manage their environmental, health, safety, risk and social impacts. The key sectors they serve include Oil & Gas, Mining, Power, and Manufacturing, Chemical and Pharmaceutical. All face critical sustainability challenges and clients in these and many other areas rely on the ability to assist them operate more sustainably which has a positive impact on the planet.","Development Consulting, Service Providers",1001-5000,,China,1971,http://www.erm.com/,"climate change,development,monitoring / evaluation,project support,waste management","world bank group,ec","indonesia,australia,india,iraq,united states","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
United Nations (UN),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0125/3090/United%2520Nations.jpg","Founded at the end of the Second World War, the United Nations is an international organization made up of 193 Member States committed to maintaining international peace and security.Every day the UN works to tackle global challenges and deliver results for those most in need.","Funding Agencies, Implementing NGO","10,000+",,,1945,http://www.un.org/,"development,torts / conflict resolution,economic policy,project support,market research",,"pakistan,sudan,united states,sweden,palau","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Food and Agriculture Organization of the United Nations (FAO),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0013/2172/logo.jpg","The Food and Agriculture Organization of the United Nations leads international efforts to defeat hunger. Serving both developed and developing countries, FAO acts as a neutral forum where all nations meet as equals to negotiate agreements and debate policy. FAO is also a source of knowledge and information. We help developing countries and countries in transition modernize and improve agriculture, forestry and fisheries practices and ensure good nutrition for all. Since our founding in 1945, we have focused special attention on developing rural areas, home to 70 percent of the world's poor and hungry people.FAO'S ACTIVITIES COMPRISE FOUR MAIN AREAS",Funding Agencies,"5001-10,000",,Italy,1945,http://www.fao.org/,"development,agricultural technology,monitoring / evaluation,infectious disease,research & development","world bank group,ec,goal global","indonesia,philippines,uganda,somalia,italy","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
United Nations Development Programme (UNDP),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0013/6505/undp.gif","UNDP is the UN's global development network, an organization advocating for change and connecting countries to knowledge, experience and resources to help people build a better life. They are on the ground in 170 countries, working with them on their own solutions to global and national development challenges. As they develop local capacity, they draw on the people of UNDP and their wide range of partners.World leaders have pledged to achieve the Millennium Development Goals, including the overarching goal of cutting poverty in half by 2015. UNDP's network links and coordinates global and national efforts to reach these Goals. Their focus is helping countries build and share solutions to the challenges of:",Funding Agencies,"10,000+",,Over 500 Million,1965,http://www.undp.org/,"development,monitoring / evaluation,events / training,performance measurement,economic policy","save the children international,goal global","indonesia,mali,zimbabwe,mozambique,trinidad and tobago","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
United Nations High Commissioner for Refugees (UNHCR),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0020/4124/unhcr.jpg","The Office of the United Nations High Commissioner for Refugees was established on December 14, 1950 by the United Nations General Assembly.

The agency is mandated to lead and co-ordinate international action to protect refugees and resolve refugee problems worldwide. Its primary purpose is to safeguard the rights and well-being of refugees. It strives to ensure that everyone can exercise the right to seek asylum and find safe refuge in another State, with the option to return home voluntarily, integrate locally or to resettle in a third country. It also has a mandate to help stateless people.

In more than six decades, the agency has helped tens of millions of people restart their lives. Today, a staff of some 7,685 people in more than 125 countries continues to help some 33.9 million persons. ",Implementing NGO,"5001-10,000",,Switzerland,1950,http://www.unhcr.org/,"refugees,monitoring / evaluation,development,research & development,performance measurement","world agroforestry centre,goal global,home office (uk)","jordan,poland,rwanda,france,brazil","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
(Red),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0016/1297/_red_logo_jpg-500x400.jpg","(RED) is a brand designed to engage business and consumer power to help eliminate AIDS in Africa.  (RED) works with the world’s best brands to make unique (PRODUCT) RED-branded products and direct up to 50% of their gross profits to the Global Fund to invest in African AIDS programs. (RED) is not a charity or ""campaign.” It is an economic initiative that aims to deliver a sustainable flow of private sector money to the Global Fund.  Since (PRODUCT) RED launched in 2006, (RED) partnerships with American Express (UK only), Apple, Bugaboo, Converse, Dell, Emporio Armani, Gap, Hallmark, Nike, Penfolds, Penguin Classics, and Starbucks, and (RED) events have generated more than $170 million for the Global Fund. Before (RED) launched, businesses had contributed just $5 million to the Global Fund in four years while the public sector had given more than $5 billion.",Implementing NGO,,,,2006,http://www.joinred.com/,"monitoring / evaluation,development,market research,events / training,performance measurement","ec,world bank group,goal global","netherlands,kenya,bangladesh,australia,indonesia","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Danish Refugee Council (DRC),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0013/6175/drc-danish.png","The Danish Refugee Council (DRC) is a humanitarian, non-governmental, non-profit organisation founded in 1956 that works in more than 30 countries throughout the world.

DRC fulfils its mandate by providing direct assistance to conflict-affected populations – refugees, internally displaced people (IDPs) and host communities in the conflict areas of the world; and by advocating on behalf of conflict-affected populations internationally, and in Denmark, on the basis of humanitarian principles and the Human Rights Declaration. In Denmark, DRC assists refugees in all aspects of integration as well as asylum procedures. Internationally, DRC actively participates in supporting the protection of refugees, and promoting durable solutions for conflict-affected populations.The DRC’s supreme authority is the Council, which consists of up to three representatives of each member organisation, six representatives of the voluntary groups and refugee counselling organisations cooperating with the Danish Refugee Council, and of the Executive Committee. ","Implementing NGO, Advocacy NGO","5001-10,000",,Denmark,1956,http://www.drc.dk/,"refugees,monitoring / evaluation,development,data management,implementation","ec,goal global,save the children international,world bank group","united states,uganda,somaliland,somalia,ethiopia","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Sustainalytics,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0142/3681/Sustainalytics_with-text_Big.jpeg","Sustainalytics, a Morningstar Company, provides high-quality, analytical environmental, social and governance (ESG) research, ratings and data to institutional investors and companies.For more than 25 years, their firm has focused on delivering innovative solutions that have enabled the world’s leading institutional investors to identify, understand, and manage ESG-driven risks and opportunities. With Sustainalytics now a part of Morningstar, they're accelerating our efforts to bring meaningful ESG insights to investors of all types across different asset classes at the company and fund level.","Investment & Finance, Service Providers",501-1000,,Netherlands,1992,http://www.sustainalytics.com/,"development,finance,urban planning,economic policy,trade customs",,"united states,south africa,pakistan,ethiopia,egypt","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
FHI 360,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0015/0544/fhi360.jpg","FHI 360 is a nonprofit human development organization dedicated to improving lives in lasting ways by advancing integrated, locally driven solutions. Vision","Implementing NGO, Advocacy NGO",1001-5000,,Over 500 Million,1971,http://www.fhi360.org/,"development,reproductive health,monitoring / evaluation,research & development,procurement process","goal global,ec","united states,nigeria,morocco,kenya,cameroon","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
IMPACT,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0140/9820/IMPACT-Logo-EN-Blog.png","IMPACT was established in 1986 as a Canadian civil society coalition, tasked with distributing funding from the Canadian International Development Agency to address the root causes of conflict and to promote development in Africa. In the mid-1990s, IMPACT’s role disbursing funds ended and the organization grew into a global leader on research and policy related to conflict diamonds and minerals.For its work to end the trade of conflict diamonds, IMPACT was co-nominated for a Nobel Peace Prize in 2003.",Implementing NGO,6-25,,United States,1986,https://impacttransform.org/en/,"monitoring / evaluation,development,data management,research & development,private sector development","acumen,goal global,test,ec","united states,uganda,malawi,worldwide,kenya","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
United Nations Environment Programme (UNEP),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0013/6511/unep.jpg","UNEP is the voice for the environment within the United Nations system.United Nations Environment Programme’s (UNEP’s) mission is to provide leadership and encourage partnership in caring for the environment by inspiring, informing, and enabling nations and peoples to improve their quality of life without compromising that of future generations.",Funding Agencies,501-1000,,Kenya,1972,http://www.unep.org/,"climate change,development,monitoring / evaluation,market research,research & development","world bank group,gordon and betty moore foundation,rockefeller foundation,goal global,ministry of foreign affairs (mfa)","philippines,netherlands,mexico,france,chile","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
The Palladium Group,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0119/2579/pg.jpg","Palladium is a global impact firm, working to link social progress and commercial growth. For the past 50 years, they’ve been helping their clients to see the world as interconnected – by formulating strategies, building partnerships, and implementing programs that have a lasting social and financial impact. They simply call this “Positive Impact”.They work with corporations, governments, investors, communities, and civil society. With a global network operating in over 90 countries, Palladium is in the business of making the world a better place.","Development Consulting, Service Providers",1001-5000,,Australia,1965,http://www.thepalladiumgroup.com/,"development,reproductive health,market research,events / training,research & development","goal global,acumen","united states,uganda,afghanistan,india,rwanda","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Office of the United Nations High Commissioner for Human Rights (OHCHR),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0015/8822/ohchr2.gif",The Office of the High Commissioner for Human Rights (UN Human Rights) is the leading UN entity on human rights. They represent the world's commitment to the promotion and protection of the full range of human rights and freedoms set out in the Universal Declaration of Human Rights.Both the High Commissioner and the Office have a unique role to:,Funding Agencies,501-1000,,Switzerland,1993,http://www.ohchr.org/,"human rights,monitoring / evaluation,research & development,development,performance measurement","world bank group,test","georgia,mexico,el salvador,india,united states","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Catholic Relief Services (CRS),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0012/0266/logo.jpg","AboutCatholic Relief Services was founded in 1943 by the Catholic Bishops of the United States to serve World War II survivors in Europe. Since then, we have expanded in size to reach more than 130 million people in more than 100 countries on five continents.",Implementing NGO,"5001-10,000",,Over 500 Million,1943,http://www.crs.org/,"disaster recovery,services,development,torts / conflict resolution,monitoring / evaluation",,"united states,south sudan,malawi,pakistan,niger","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
Terre Des Hommes (TDH),"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0127/6054/logo-tdh-header_en_0.png","Terre des Hommes’ (TDH) mission is to work for the rights of the child and for equitable development, without racial, religious, political, cultural or gender-based discrimination. To this end, TDH supports and implements development and humanitarian aid projects designed to improve the living conditions of disadvantaged children, and of their families and communities. The Convention on the Rights of the Child is the conceptual framework guiding the activities of TDH.",Advocacy NGO,501-1000,,Switzerland,1960,http://www.terredeshommes.org/,"development,monitoring / evaluation,procurement process,financial services,reproductive health","ec,goal global,oak foundation","united states,kenya,afghanistan,pakistan,netherlands","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
DevTech,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0131/2907/Logo%2520with%2520tagline.png","DevTech Systems, Inc. (DevTech) is an international consulting firm dedicated to development. Founded in 1984, it has provided advisory services and technical assistance to government, private-sector, and civil-society stakeholders in more than 100 countries..DevTech is a U.S. Small Business under its primary NAICS codes (Data Processing as well as Professional, Scientific, and Technical Services): 541990, 518210, 541511, 541512, 541513, 541519, 541611, 541618, 541620, 541690, and 541720......",Development Consulting,26-50,,,1984,http://www.devtechsys.com/,"monitoring / evaluation,data management,development,reproductive health,systems","world bank group,save the children international,bill & melinda gates foundation (b&mgf)","united states,nigeria,australia,tanzania,south sudan","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
World Vision,"https://res.cloudinary.com/devex/image/fetch/c_fit,f_jpg,h_80,w_200/https://neo-assets.s3.amazonaws.com/assets/0131/2648/wv-logo-new-PMS1505.png","World Vision is a Christian humanitarian organization dedicated to working with children, families, and their communities worldwide to reach their full potential by tackling the causes of poverty and injustice..They serve close to 100 million people in nearly 100 countries around the world. World Vision serves all people, regardless of religion, race, ethnicity, or gender..World Vision is a global organization with offices in approximately 100 countries. Their staff are experts in a broad range of technical specialties, ranging from hydrology to microenterprise development to public health. Of the more than 40,000 staff employed by World Vision, 97 percent work in their home countries or regions. Familiar with the culture and language, they bring to World Vision a deeply personal understanding of how best to assist local children and families..The millions of people they serve include earthquake and hurricane survivors, abandoned and exploited children, survivors of famine and civil war, refugees, and children and families in communities devastated by AIDS in Africa, Asia, and Latin America. Their extensive global infrastructure enables them to respond where the need is greatest, anywhere in the world. .....",Implementing NGO,"10,000+",,United States,1950,http://www.worldvision.org/,"development,monitoring / evaluation,reproductive health,implementation,development aid","goal global,test,bloomberg philantrophies","ghana,united states,australia,zimbabwe,georgia","managerial experience,business development,experience in recruitment,international experience,with experience in conflict areas",,
